shot_id,probability,physical_error,final_correction,hard_prediction,failure,D_r,D_g,D_b,W,minimizing_color,phi,D_min,minus_W
82,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
83,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
84,0.00390625,1000000000000010100,1000000000000010100,1,0,10.42829606950582,10.42829606950582,10.42829606950582,10.42829606950582,r,0.0,10.42829606950582,-10.42829606950582
85,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
86,0.00390625,0010000000000000000,0010000000000000000,1,0,13.904394759341093,13.904394759341093,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733
87,0.00390625,0000100100000000100,0000000000010000001,0,1,13.904394759341093,10.42829606950582,13.904394759341093,6.9521973796705465,g,3.476098689835273,10.42829606950582,-6.9521973796705465
88,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
89,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
90,0.00390625,0000000000000010000,0000000000000010000,0,0,13.904394759341093,13.904394759341093,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733
91,0.00390625,0001000000000100000,0001000000000100000,1,0,13.904394759341093,13.904394759341093,13.904394759341093,6.9521973796705465,r,6.9521973796705465,13.904394759341093,-6.9521973796705465
92,0.00390625,0000000000000000010,0000000000000000010,0,0,13.904394759341093,13.904394759341093,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733
93,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
94,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
95,0.00390625,0010000000000000000,0010000000000000000,1,0,13.904394759341093,13.904394759341093,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733
96,0.00390625,0000000000000000010,0000000000000000010,0,0,13.904394759341093,13.904394759341093,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733
97,0.00390625,0000000000000100000,0000000000000100000,0,0,13.904394759341093,13.904394759341093,17.380493449176367,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733
98,0.00390625,0000000000010000000,0000000000010000000,0,0,17.380493449176367,13.904394759341093,13.904394759341093,3.4760986898352733,g,10.42829606950582,13.904394759341093,-3.4760986898352733
99,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
100,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
101,0.00390625,0000000000010000000,0000000000010000000,0,0,17.380493449176367,13.904394759341093,13.904394759341093,3.4760986898352733,g,10.42829606950582,13.904394759341093,-3.4760986898352733
102,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
103,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
104,0.00390625,0000000100000000000,0000000100000000000,0,0,13.904394759341093,13.904394759341093,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733
105,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
106,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
107,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
108,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
109,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
110,0.00390625,0000000000100000000,0000000000100000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,3.4760986898352733,r,13.904394759341093,17.380493449176367,-3.4760986898352733
111,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
112,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
113,0.00390625,0000001100000000000,0000001100000000000,0,0,13.904394759341093,13.904394759341093,10.42829606950582,6.9521973796705465,b,3.476098689835273,10.42829606950582,-6.9521973796705465
114,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
115,0.00390625,0000000000000100000,0000000000000100000,0,0,13.904394759341093,13.904394759341093,17.380493449176367,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733
116,0.00390625,0000000000000000110,0000000000000001001,0,0,10.42829606950582,13.904394759341093,13.904394759341093,6.9521973796705465,r,3.476098689835273,10.42829606950582,-6.9521973796705465
117,0.00390625,0010000000000000000,0010000000000000000,1,0,13.904394759341093,13.904394759341093,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733
