shot_id,probability,physical_error,final_correction,hard_prediction,failure,D_r,D_g,D_b,W,minimizing_color,phi,D_min,minus_W,delta_class,delta_corr,within_class_suboptimality,optimal_class_gap
31,2.2863869999999994e-08,0011111,0010000,1,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
32,0.024989160147869994,0100000,0100000,1,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
33,0.0007728606231299999,0100001,0001000,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
34,0.0007728606231299999,0100010,0000100,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
35,2.3902905869999993e-05,0100011,0010000,1,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
36,0.0007728606231299999,0100100,0000010,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
37,2.3902905869999993e-05,0100101,1000000,1,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
38,2.3902905869999993e-05,0100110,0000000,0,1,10.42829606950582,10.42829606950582,10.42829606950582,0.0,r,10.42829606950582,10.42829606950582,-0.0,10.42829606950582,10.42829606950582,0.0,10.42829606950582
39,7.392651299999999e-07,0100111,0000001,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
40,0.0007728606231299999,0101000,0000001,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
41,2.3902905869999993e-05,0101001,0000000,0,1,10.42829606950582,10.42829606950582,10.42829606950582,0.0,r,10.42829606950582,10.42829606950582,-0.0,10.42829606950582,10.42829606950582,0.0,10.42829606950582
42,2.3902905869999993e-05,0101010,1000000,1,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
43,7.392651299999999e-07,0101011,0000010,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
44,2.3902905869999993e-05,0101100,0010000,1,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
45,7.392651299999999e-07,0101101,0000100,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
46,7.392651299999999e-07,0101110,0001000,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
47,2.2863869999999994e-08,0101111,0100000,1,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
48,0.0007728606231299999,0110000,1000000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
49,2.3902905869999993e-05,0110001,0000010,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
50,2.3902905869999993e-05,0110010,0000001,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
51,7.392651299999999e-07,0110011,0000000,0,0,10.42829606950582,10.42829606950582,10.42829606950582,0.0,r,10.42829606950582,10.42829606950582,-0.0,10.42829606950582,10.42829606950582,0.0,10.42829606950582
52,2.3902905869999993e-05,0110100,0001000,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
53,7.392651299999999e-07,0110101,0100000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
54,7.392651299999999e-07,0110110,0010000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
55,2.2863869999999994e-08,0110111,0000100,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
56,2.3902905869999993e-05,0111000,0000100,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
57,7.392651299999999e-07,0111001,0010000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
58,7.392651299999999e-07,0111010,0100000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
59,2.2863869999999994e-08,0111011,0001000,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
60,7.392651299999999e-07,0111100,0000000,0,0,10.42829606950582,10.42829606950582,10.42829606950582,0.0,r,10.42829606950582,10.42829606950582,-0.0,10.42829606950582,10.42829606950582,0.0,10.42829606950582
61,2.2863869999999994e-08,0111101,0000001,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
62,2.2863869999999994e-08,0111110,0000010,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
63,7.071299999999998e-10,0111111,1000000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
64,0.024989160147869994,1000000,1000000,1,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
65,0.0007728606231299999,1000001,0000010,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
66,0.0007728606231299999,1000010,0000001,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
67,2.3902905869999993e-05,1000011,0000000,0,1,10.42829606950582,10.42829606950582,10.42829606950582,0.0,r,10.42829606950582,10.42829606950582,-0.0,10.42829606950582,10.42829606950582,0.0,10.42829606950582
68,0.0007728606231299999,1000100,0001000,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
69,2.3902905869999993e-05,1000101,0100000,1,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
70,2.3902905869999993e-05,1000110,0010000,1,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
71,7.392651299999999e-07,1000111,0000100,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
72,0.0007728606231299999,1001000,0000100,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
73,2.3902905869999993e-05,1001001,0010000,1,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
74,2.3902905869999993e-05,1001010,0100000,1,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
75,7.392651299999999e-07,1001011,0001000,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
76,2.3902905869999993e-05,1001100,0000000,0,1,10.42829606950582,10.42829606950582,10.42829606950582,0.0,r,10.42829606950582,10.42829606950582,-0.0,10.42829606950582,10.42829606950582,0.0,10.42829606950582
77,7.392651299999999e-07,1001101,0000001,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
78,7.392651299999999e-07,1001110,0000010,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
79,2.2863869999999994e-08,1001111,1000000,1,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
80,0.0007728606231299999,1010000,0100000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
81,2.3902905869999993e-05,1010001,0001000,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
82,2.3902905869999993e-05,1010010,0000100,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
83,7.392651299999999e-07,1010011,0010000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
84,2.3902905869999993e-05,1010100,0000010,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
85,7.392651299999999e-07,1010101,1000000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
86,7.392651299999999e-07,1010110,0000000,0,0,10.42829606950582,10.42829606950582,10.42829606950582,0.0,r,10.42829606950582,10.42829606950582,-0.0,10.42829606950582,10.42829606950582,0.0,10.42829606950582
87,2.2863869999999994e-08,1010111,0000001,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
88,2.3902905869999993e-05,1011000,0000001,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
89,7.392651299999999e-07,1011001,0000000,0,0,10.42829606950582,10.42829606950582,10.42829606950582,0.0,r,10.42829606950582,10.42829606950582,-0.0,10.42829606950582,10.42829606950582,0.0,10.42829606950582
90,7.392651299999999e-07,1011010,1000000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
91,2.2863869999999994e-08,1011011,0000010,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
92,7.392651299999999e-07,1011100,0010000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
93,2.2863869999999994e-08,1011101,0000100,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
94,2.2863869999999994e-08,1011110,0001000,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
95,7.071299999999998e-10,1011111,0100000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
96,0.0007728606231299999,1100000,0010000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
97,2.3902905869999993e-05,1100001,0000100,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
98,2.3902905869999993e-05,1100010,0001000,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
99,7.392651299999999e-07,1100011,0100000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
